,Positions,Locations,Categories
44,Analyste Technique,"Paris, France",Professional Services – Professional Services
45,"Customer Success Manager, France","Paris, France",Professional Services – Professional Services
46,"Customer Success Manager, Germany","Munich Area, Germany",Professional Services – Professional Services
47,"Director, Professional Services (France)","Paris, France",Professional Services – Professional Services
48,"Manager, Professional Services (France)","Paris, France",Professional Services – Professional Services
49,"Manager, Professional Services (Germany)","Munich Area, Germany",Professional Services – Professional Services
50,"Professional Services Program Manager, Value Accounts","Denver, CO",Professional Services – Professional Services
51,"Professional Services, Program Manager (San Mateo)","San Mateo, CA, USA",Professional Services – Professional Services
52,"Professional Services, Program Manager (Toronto)","Toronto, Canada",Professional Services – Professional Services
53,"Professional Services, Project Manager (Madrid) (Spanish & Italian Speaking)","Madrid, Spain",Professional Services – Professional Services
54,"Professional Services, Project Manager (Melbourne)","Melbourne, Australia",Professional Services – Professional Services
55,"Professional Services, Senior Analyst (Singapore)",Singapore,Professional Services – Professional Services
56,"Professional Services, Technical Account Manager","London, United Kingdom",Professional Services – Professional Services
57,"Project Manager, Professional Services","Munich Area, Germany",Professional Services – Professional Services
58,"Project Manager, Professional Services","Madrid, Spain",Professional Services – Professional Services
59,"Project Manager, Professional Services","London, United Kingdom",Professional Services – Professional Services
60,"Project Manager, Professional Services (Italian Speaker)","London, United Kingdom",Professional Services – Professional Services
61,"Project Manager, Professional Services (Polish Speaker)","London, United Kingdom",Professional Services – Professional Services
62,"Senior Manager, Professional Services (Germany)","Munich Area, Germany",Professional Services – Professional Services
63,"Technical Analyst, Professional Services","Paris, France",Professional Services – Professional Services
64,"Technical Analyst, Professional Services","London, United Kingdom",Professional Services – Professional Services
65,"Technical Analyst, Professional Services","Madrid, Spain",Professional Services – Professional Services
66,"Technical Analyst, Professional Services","Munich Area, Germany",Professional Services – Professional Services
67,"Technical Architect, Strikedeck","Remote, California",Professional Services – Professional Services
68,"Technical Manager, Professional Services","Madrid, Spain",Professional Services – Professional Services
69,"Principal Consultant, Strategy Analytics","San Francisco, CA",Professional Services – Professional Services Insights
70,"Senior Manager, Solution Architect","London, United Kingdom",Professional Services – Solutions Innovation & Architecture
71,"Senior Software Engineer, Application Solutions (Austin)","Austin, TX, USA",Professional Services – Solutions Innovation & Architecture
72,"Senior Software Engineer, Application Solutions (NYC)","New York City, NY, USA",Professional Services – Solutions Innovation & Architecture
73,"Senior Software Engineer, Application Solutions (Toronto)","Toronto, Canada",Professional Services – Solutions Innovation & Architecture
74,"Senior Software Engineer, Application Solutions (Tyson's Corner)","Tysons Corner, Virginia, USA",Professional Services – Solutions Innovation & Architecture
75,Senior Support Agent,"London, United Kingdom",Professional Services – Technical Support
76,"Technical Product Expert, Engineering Support","Buenos Aires, Argentina",Professional Services – Technical Support
77,Technical Support Advocate,"Denver, CO",Professional Services – Technical Support
78,Enterprise Sales Executive,"London, United Kingdom",Sales – Industry & Vertical Sales
79,Enterprise Sales Executive (Austria),"Vienna, Austria",Sales – Industry & Vertical Sales
80,Enterprise Sales Executive (France),"Paris, France",Sales – Industry & Vertical Sales
81,Enterprise Sales Executive (Germany),"Remote, Germany",Sales – Industry & Vertical Sales
82,Enterprise Sales Executive (Italy),"Milan, Italy",Sales – Industry & Vertical Sales
83,Enterprise Sales Executive (Spain),"Madrid, Spain",Sales – Industry & Vertical Sales
84,Enterprise Sales Executive (Switzerland),"Zurich, Switzerland",Sales – Industry & Vertical Sales
85,Sales Director,"London, United Kingdom",Sales – Industry & Vertical Sales
86,Sales Director - Austria,"Vienna, Austria",Sales – Industry & Vertical Sales
87,Sales Director - Italy,"Milan, Italy",Sales – Industry & Vertical Sales
88,Sales Director (Australia),"Sydney, Australia",Sales – Industry & Vertical Sales
89,Sales Director (Bogotá),"Bogotá, Colombia",Sales – Industry & Vertical Sales
90,Sales Director (Germany),"Munich Area, Germany",Sales – Industry & Vertical Sales
91,Sales Director (London),"London, United Kingdom",Sales – Industry & Vertical Sales
92,Sales Director (Paris),"Paris, France",Sales – Industry & Vertical Sales
93,Sales Director (Santiago),Sanitago de Chile,Sales – Industry & Vertical Sales
94,Sales Director (Spain),"Madrid, Spain",Sales – Industry & Vertical Sales
95,Sales Director (Switzerland),"Zurich, Switzerland",Sales – Industry & Vertical Sales
96,"Sales Director, Voice of the Employee","Remote, United States",Sales – Industry & Vertical Sales
97,Director of Value Added Resellers- APAC,Singapore,Sales – Mid-Market Sales
98,Director of Value Added Resellers- EMEA,"London, United Kingdom",Sales – Mid-Market Sales
99,Mid-Market Sales Director (London),"London, United Kingdom",Sales – Mid-Market Sales
100,Sales Associate - Sales Academy Program,"Remote, United States",Sales – Mid-Market Sales
101,Deal Desk Analyst,"London, United Kingdom",Sales – Sales Operations & Enablement
102,Sales Development Representative (EMEA),"London, United Kingdom",Sales Development – Sales Development
103,Sales Development Representative (German Speaking),"London, United Kingdom",Sales Development – Sales Development
104,Sales Development Representative (Italian Speaking),"London, United Kingdom",Sales Development – Sales Development
105,Sales Development Representative (Singapore),Singapore,Sales Development – Sales Development
106,Sales Development Representative (South Korea),Remote - South Korea,Sales Development – Sales Development
107,"Sales Development Representative, SLED","Austin, TX, USA",Sales Development – Sales Development
108,"Senior Sales Development Representative, Public Sector","Washington, DC",Sales Development – Sales Development
