,Positions,Locations,Categories
54,Integrations Architect (Remote - US),United States - Remote,Sales – Professional Services
55,Program Manager (Remote - US),United States - Remote,Sales – Professional Services
56,Technical Analyst  (Remote - US),United States - Remote,Sales – Professional Services
57,"Director, Sales Engineering (Scottsdale or Remote)","Scottsdale, Arizona",Sales – Sales Engineering
58,Inside Sales Engineer (North Carolina),"Charlotte, North Carolina",Sales – Sales Engineering
59,"NPI Program Manager, Sales Operations","Scottsdale, Arizona",Sales – Sales Operations
60,Learning Systems Administrator and Developer,"Scottsdale, Arizona",Sales – Training
61,Principal Applied Research Scientist (AI and Machine Learning),"Seattle, Washington",Software Engineering – Artificial Intelligence
62,Principal Applied Research Scientist (AI and Machine Learning),"Ho Chi Minh City, Vietnam",Software Engineering – Artificial Intelligence
63,Principal Machine Learning Platform Engineer,"Seattle, Washington",Software Engineering – Artificial Intelligence
64,Principal Machine Learning Platform Engineer,"Ho Chi Minh City, Vietnam",Software Engineering – Artificial Intelligence
65,"Principal Technical Program Manager, AI","Seattle, Washington",Software Engineering – Artificial Intelligence
66,"Sr. Director of Applied Science, Machine Learning","Seattle, Washington",Software Engineering – Artificial Intelligence
67,"Sr. Engineering Director, Machine Learning Platform","Seattle, Washington",Software Engineering – Artificial Intelligence
68,Sr. Principal Applied Research Scientist (AI and Machine Learning),"Seattle, Washington",Software Engineering – Artificial Intelligence
69,"Sr. Principal Engineer, Machine Learning Platform","Seattle, Washington",Software Engineering – Artificial Intelligence
70,Sr. Principal Product Manager / Director of Product (AI and Machine Learning),"Seattle, Washington",Software Engineering – Artificial Intelligence
71,"Frontend Engineer / Senior Engineer, Web Messaging","Ho Chi Minh City, Vietnam",Software Engineering – Communications
72,QA Automation Engineer - Data Platform,"Ho Chi Minh City, Vietnam",Software Engineering – Communications
73,"Senior Backend Engineer, Scale Squad","Ho Chi Minh City, Vietnam",Software Engineering – Communications
74,"Senior Backend Engineer, Web Messaging","Ho Chi Minh City, Vietnam",Software Engineering – Communications
75,Senior Data Engineer,"Scottsdale, Arizona",Software Engineering – Communications
76,"Senior Engineering Manager, Real time Communications","Ho Chi Minh City, Vietnam",Software Engineering – Communications
77,"Senior Full Stack Software Engineer, Scale squad","Ho Chi Minh City, Vietnam",Software Engineering – Communications
78,"Senior Full Stack Software Engineer, Web Messaging","Ho Chi Minh City, Vietnam",Software Engineering – Communications
79,"QA Engineering Manager, Digital Evidence Management System","Ho Chi Minh City, Vietnam",Software Engineering – Digital Evidence Management & Devices
80,"Senior Frontend Engineer, React","Seattle, Washington",Software Engineering – Digital Evidence Management & Devices
81,Mobile Application Developer - Federal Products,"Seattle, Washington",Software Engineering – Federal
82,Senior Software Developer - Federal Products,"Seattle, Washington",Software Engineering – Federal
83,Full-Stack Software Engineer - Transcription,"Ho Chi Minh City, Vietnam",Software Engineering – Record Management System
84,"Principal Data Architect, Axon Records and Data Platform","Seattle, Washington",Software Engineering – Record Management System
85,Senior Backend Engineer,"Seattle, Washington",Software Engineering – Record Management System
86,Senior QA Automation Engineer- RMS,"Ho Chi Minh City, Vietnam",Software Engineering – Record Management System
87,Software Architect - Data Platform,"Seattle, Washington",Software Engineering – Record Management System
88,"Software Engineer, Axon Records","Scottsdale, Arizona",Software Engineering – Record Management System
89,"Software Engineer, Axon Records","Scottsdale, Arizona",Software Engineering – Record Management System
90,"Staff Software Engineer, Axon Records","Seattle, Washington",Software Engineering – Record Management System
91,.NET Software Engineer,"Ho Chi Minh City, Vietnam",Software Engineering – Sensors - DEMS
92,"Backend Engineer, Case Sharing","Seattle, Washington",Software Engineering – Sensors - DEMS
93,Frontend Software Engineer - Evidence Viewing & Playback,"Ho Chi Minh City, Vietnam",Software Engineering – Sensors - DEMS
94,"Senior Backend Engineer, Case Sharing","Seattle, Washington",Software Engineering – Sensors - DEMS
95,"Senior Backend Engineer, Evidence Management","Seattle, Washington",Software Engineering – Sensors - DEMS
96,Senior QA Automation Engineer,"Ho Chi Minh City, Vietnam",Software Engineering – Sensors - DEMS
97,"Staff Backend Software Engineer, Case Management and Sharing","Seattle, Washington",Software Engineering – Sensors - DEMS
98,"Senior Backend Engineer, Connected Devices","Seattle, Washington",Software Engineering – Sensors - Devices
99,"Senior Frontend Engineer, Fleet","Seattle, Washington",Software Engineering – Sensors - Devices
100,Senior Software Engineer - Sensors & Devices,"Seattle, Washington",Software Engineering – Sensors - Devices
101,"Senior Software Engineer, Sensors Devices","Ho Chi Minh City, Vietnam",Software Engineering – Sensors - Devices
102,Product Manager,"Ho Chi Minh City, Vietnam",Software Engineering – Shared Platform
103,Senior Software Engineer,"Seattle, Washington",Software Engineering – Shared Platform
104,"Senior Software Engineer, Platform","Seattle, Washington",Software Engineering – Shared Platform
105,Software Engineer,"Seattle, Washington",Software Engineering – Shared Platform
106,Director of Infrastructure Engineering,"Seattle, Washington",Software Engineering – Site Reliability Engineering
107,Senior Site Reliability Engineer,"Seattle, Washington",Software Engineering – Site Reliability Engineering
108,Senior Site Reliability Engineer - Cloud Operations,"Seattle, Washington",Software Engineering – Site Reliability Engineering
109,Site Reliability Engineer,"Seattle, Washington",Software Engineering – Site Reliability Engineering
110,Site Reliability Engineer,"Seattle, Washington",Software Engineering – Site Reliability Engineering
111,Site Reliability Engineer (DevOps),"Ho Chi Minh City, Vietnam",Software Engineering – Site Reliability Engineering
